IATA,ICAO,Airline,Call sign,Country/Region,Comments
,SRO,Servicios Aéreos Ejecutivos Saereo,SAEREO,Ecuador,
,SRP,Polizeihubschauberstaffel Rheinland-Pfalz,SPERBER,Germany,
,SRQ,South East Asian Airlines,SEAIR,Philippines,Rebranded to Tiger Airways Philippines
DG,SRQ,Cebgo,BLUE JAY,Philippines,"Formerly SEAir, South East Asian  Airlines and Tigerair Philippines"
DJ,SRR,Star Air,WHITESTAR,Denmark,
,SRS,Selkirk Remote Sensing,PHOTO CHARLIE,Canada,
,SRT,Trans Asian Airlines,TRASER,Kazakhstan,
,SRU,Star Up,STAR-UP,Peru,
,SRV,Aero Servicio Corporativo,SERVICORP,Mexico,
,SRW,Sarit Airlines,SARIA,Sudan,
,SRX,Sierra Expressway Airlines,SIERRA EX,United States,
,SRY,As-Aero,,Armenia,
,SRZ,Strato Air Services,STRATO,South Africa,
,SSB,Sasair,SASIR,Canada,
,SSC,Southern Seaplane,SOUTHERN SKIES,United States,
,SSD,Star Service International,STAR SERVICE,France,
,SSE,Servicios Aéreos Sunset,SUNSET,Mexico,
D2,SSF,Severstal Air Company,SEVERSTAL,Russia,
,SSG,Slovak Government Flying Service,SLOVAK GOVERNMENT,Slovakia,
,SSH,Heritage Flight (Valley Air Services),SNOWSHOE,United States,
,SSI,Vision Airlines,SUPER JET,Nigeria,
,SSK,Skystar International,SKYSTAR,United States,
,SSL,Air Sultan,SIERRA SULTAN,Sierra Leone,
,SSM,Aero 1 Pro-Jet,RAPID,Canada,defunct
,SSN,Airquarius Air Charter,SUNSTREAM,South Africa,ICAO code no longer allocated
,SSO,Special Scope Limited,DOPE,United Kingdom,
,SSP,Starspeed,STARSPEED,United Kingdom,
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia,Uses IATA of parent QANTAS.
,SSR,Sardinian Sky Service,SARDINIAN,Italy,
,SSS,SAESA,SAESA,Spain,
,SST,Sunwest Airlines,SUNFLIGHT,Canada,
,SSU,SASCA,SASCA,Venezuela,
5G,SSV,Skyservice Airlines,SKYTOUR,Canada,defunct
,SSW,Streamline Aviation,STREAMLINE,United Kingdom,
L4,SSX,Lynx Aviation,SHASTA,United States,Part of Frontier Airlines
,SSY,Sky Aviation,SIERRA SKY,Sierra Leone,
,SSZ,Specsavers Aviation,SPECSAVERS,United Kingdom,
,STA,Star Aviation,STAR,United Kingdom,
,STB,Status-Alpha Airline,STATUS-ALPHA,Ukraine,
,STC,Stadium City Limited,STADIUM,United Kingdom,
,STD,Servicios De Aerotransportacion De Aguascalientes,AERO AGUASCALINETES,Mexico,
,STE,Semitool Europe,SEMITRANS,United Kingdom,
,STF,SFT-Sudanese Flight,,Sudan,
,STG,"Sedalia, Marshall, Boonville Stage Line",STAGE,United States,
,STH,South-Airlines,,Armenia,
,STI,Sontair,SONTAIR,Canada,
,STJ,Sella Aviation,STELLAVIA,Netherlands,
,STK,Aeropac,SAT PAK,United States,
RE,STK,Stobart Air,STOBART,Ireland,
,STL,Stapleford Flight Centre,STAPLEFORD,United Kingdom,
,STN,RAF St Athan,SAINT ATHAN,United Kingdom,Royal Air Force
,STO,Streamline Ops,SLOPS,Russia,
,STQ,Star Air,STERA,Indonesia,
,STR,Red Star,STARLINE,United Arab Emirates,
,STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia,
,STT,Air St. Thomas,PARADISE,United States,
ST*,STT,"Western Aircraft, Inc",SAWTOOTH,United States,
FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina,ICAO and call sign not current
,STU,Star African Air,STARSOM,Somali Republic,
,STV,Saturn Aviation,SATURN,United States,
,STW,South West Air Corporation,SIERRA WHISKEY,Philippines,
,STX,Stars Away Aviation,STARSAWAY,South Africa,
,STY,Styrian Airways,STYRIAN,Austria,
,SUA,Silesia Air,AIR SILESIA,Czech Republic,
,SUB,Suburban Air Freight,SUB AIR,United States,
SD,SUD,Sudan Airways,SUDANAIR,Sudan,
,SUE,Aerolíneas Del Sureste,AEROSURESTE,Mexico,
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji,
,SUG,Sunu Air,SUNU AIR,Senegal,
,SUH,Sun Light,LIGHT AIR,Kyrgyzstan,
,SUI,Swiss Air Force,SWISS AIR FORCE,Switzerland,
,SUK,Superior Aviation Services,SKYCARGO,Kenya,
,SUM,State Unitary Air Enterprise,SUMES,Russia,
,SUN,Antillana De Navegación Aérea,,Dominican Republic,
,SUO,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico,
,SUP,Aeronautical Charters,SUN SPEED,United States,
,SUP,Aerosuper,AEROSUPER,Mexico,
,SUR,Sun Air,,Egypt,
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark,
,SUT,Sistemas Aeronauuticos 2000,SISTEMAS AERONAUTICOS,Mexico,
,SUU,Star West Aviation,SUNSTAR,United States,
,SUV,Sundance Air,DANCEAIR,Venezuela,
8D*,SUW,Astair,,Russian Federation,Name changed to Interavia Airlines
ZA,SUW,Interavia Airlines,ASTAIR,Russia,
,SUY,Aerial Surveys (1980) Limited,SURVEY,New Zealand,
SV,SVA,Saudia,SAUDIA,Saudi Arabia,
,SVB,Siavia,SIAVIA,Slovenia,
,SVD,St. Vincent Grenadines Air (1990),GRENADINES,Saint Vincent and the Grenadines,
,SVE,Aero Servicios Expecializados,AEROESPECIAL,Mexico,
,SVF,Swedish Armed Forces,SWEDEFORCE,Sweden,
,SVH,Sterling Helicopters,SILVER,United Kingdom,
,SVI,Servicios De Transporte Aéreo,SETRA,Mexico,
,SVJ,Silver Air,,Djibouti,
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia,ICAO code no longer allocated
,SVL,Sevastopol-Avia,SEVAVIA,Ukraine,
,SVM,Aeroservicios Monterrey,SERVIMONTE,Mexico,
,SVN,Savanair (Angola),SAVANAIR,Angola,
,SVO,Servicios Aeronáuticos De Oriente,SERVIORIENTE,Mexico,
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia,
,SVS,Servicios Aéreos Saar,AEREOS SAAR,Mexico,
,SVT,Seven Four Eight Air Services,SIERRA SERVICES,Luxembourg,
,SVV,SALTAVIATION,SALT,Poland,
,SVW,Global Jet Luxembourg,SILVER ARROWS,Luxembourg,
,SVX,Security Aviation,SECURITY AIR,United States,
,SVY,Cooper Aerial Surveys,SURVEYOR,United Kingdom,
WN,SWA,Southwest Airlines,SOUTHWEST,United States,
,SWB,Swissboogie Parapro,SWISSBOOGIE,Switzerland,
,SWC,South West Air,SAINT CLAIR,Canada,
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina,
,SWD,Trifly,SAWBLADE,United States,
,SWE,Swedeways,SWEDELINE,Sweden,
,SWF,Galair International,GALAIR,United Kingdom,
WG,SWG,Sunwing Airlines,SUNWING,Canada,
,SWH,Adler Aviation,SHOCKWAVE,Canada,
,SWI,Sunworld Airlines,SUNWORLD,United States,
,SWJ,StatesWest Airlines,STATES,United States,
,SWK,General Aerospace,SKYWALKER,Canada,
,SWL,Trans Jet Airways,TRANSJET,Sweden,
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden,
,SWO,Surinam International Victory Airline,SIVA,Suriname,defunct
,SWP,Star Work Sky,STAR WORK,Italy,
WQ,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States,
LX,SWR,Swiss International Air Lines,SWISS,Switzerland,
SR,SWR,Swissair,SWISSAIR,Switzerland,defunct
,SWS,Sunwest Aviation (Lindquist Investment),SUNNY WEST,United States,
,SWT,Swiftair,SWIFT,Spain,
LZ,SWU,Swiss Global Air Lines,EUROSWISS,Switzerland,
WV,SWV,Swe Fly,FLYING SWEDE,Sweden,
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine,
Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Eswatini,
,SWY,Sky Jet,SWISSLINK,Switzerland,
,SWZ,"Servair, Private Charter",SWISSBIRD,Switzerland,Code re-allocated
S8,SWZ,Skywise Airline,SKYWISE,South Africa,
,SXA,Southern Cross Aviation,FERRY,United States,
,SXC,Sky Exec Aviation Services,SKY EXEC,Nigeria,
XG,SXD,Sunexpress Deutschland,SUNRISE,Germany,
,SXE,Southeast Express Airlines,DOGWOOD EXPRESS,United States,
,SXM,Servicios Aéreos Especializados Mexicanos,SERVIMEX,Mexico,
,SXN,SaxonAir,SAXONAIR,United Kingdom,
,SXP,Direct Fly,EXPRESS SKY,Poland,defunct
XQ,SXS,SunExpress,SUNEXPRESS,Turkey,
,SXT,Servicios de Taxi Aereos,SERTAXI,Mexico,
,SXT,Servicios De Taxi Aéreo,SERTA,Mexico,
,SXX,Satellite Aero,SATELLITE EXPRESS,United States,
,SXY,Safari Express Cargo,SAFARI EXPRESS,Kenya,
,SYA,Skyways,LINEAS CARDINAL,Argentina,
,SYC,Systec 2000,SYSTEC,United States,
,SYE,Sheba Aviation,,Yemen,
,SYF,Sky One Express Airlines,SKY FIRST,United States,
,SYG,Synergy Aviation,SYNERGY,United Kingdom,
,SYH,Sky Handling,,Ukraine,
,SYI,Sonalysts,,United States,
,SYJ,Slate Falls Airways,,Canada,
,SYK,Satsair,AEROCAB,United States,(J and A Properties)
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia,
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia,
,SYN,Syncrude Canada,SYNCRUDE,Canada,
RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,
,SYS,Shawbury Flying Training Unit,SHAWBURY,United Kingdom,
,SYT,Aerosud Aviation,SKYTRACK,South Africa,
,SYV,Special Aviation Systems,SPECIAL SYSTEM,United States,
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States,(Astral Aviation)
,SYY,South African Historic Flight,SKY COACH,South Africa,
,SYZ,Zil Air,ZIL AIR,Seychelles,
,SZA,Aerolíneas de El Salvador,AESA,El Salvador,defunct
OL,SZB,Samoa Air,SAMOA,Samoa,
HC,SZN,Air Senegal,AIR SENEGAL,Senegal,
,SZT,Servicios Aeronáuticos Z,AERO ZEE,Mexico,
,TAA,Aeroservicios de La Costa,AERO COSTA,Mexico,
,TAC,Turbot Air Cargo,TURBOT,Senegal,
,TAD,Transporte Aéreo  Dominicano,TRANS DOMINICAN,Dominican Republic,
EQ,TAE,TAME,TAME,Ecuador,Transporte Aéreos Militares  Ecuatorianos
,TAG,TAG Aviation USA,TAG U-S,United States,
,TAH,Air Moorea,AIR MOOREA,France,defunct
,TAJ,Tunisavia,TUNISAVIA,Tunisia,
,TAL,Talair,TALAIR,Papua New Guinea,
JJ,TAM,LATAM  Brasil,TAM,Brazil,
TX,TAN,Transportes Aéreos Nacionales,,Honduras,Defunct
,TAN,Zanair,ZANAIR,Tanzania,
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico,
TP,TAP,TAP  Portugal,AIR PORTUGAL,Portugal,
TU,TAR,Tunisair,TUNAIR,Tunisia,
,TAS,Lotus Air,LOTUS FLOWER,Egypt,
,TAT,Grupo TACA,TACA-COSTARICA,Costa Rica,
,TAU,Transportes Aéreos  Tauro,TRANSTAURO,Mexico,
,TAV,Compañía de Servicios Aéreos Tavisa,TAVISA,Spain,
XJ,TAX,Thai  AirAsia X,EXPRESS WING,Thailand,
,TAX,Travel Air,TRAVELAIR,United States,
3V,TAY,TNT  Airways,QUALITY,Belgium,
,TBA,Tibet  Airlines,TIBET,China,
TR,TBA,Transbrasil,TRANSBRASIL,Brazil,defunct
,TBC,Turbine Air Cargo UK,,United Kingdom,
,TBD,Thunderbird Tours,ORCA,Canada,
M7,TBG,Tropical  Airways,,Haiti,
,TBH,Trinity Air Bahamas,,Bahamas,
,TBI,TAB Express  International,TAB INTERNATIONAL,United States,
,TBL,Aerotrebol,AEROTREBOL,Mexico,
,TBL,Bell Aliant Regional Communications,TELCO,Canada,
,TBM,Taban Air Lines,TABAN AIR,Iran,
,TBN,Teebah  Airlines,TEEBAH,Sierra Leone,
,TBO,Aero Taxi de Los Cabos,AERO CABOS,Mexico,
,TBR,Tubelair,TUBELAIR,Tunisia,
2T,TBS,Timbis Air,TIMBIS,Kenya,
,TBS,Servicios Aéreos Tribasa,TRIBASA,Mexico,
,TBX,Tobago  Express,TABEX,Trinidad and Tobago,
,TCA,Tropican Air Services,TROPICANA,Egypt,
,TCB,Transporte Aereo  De Colombia,AERO COLOMBIA,Colombia,
,TCB,Transporte del Caribe,TRANSCARIBE,Colombia,
,TCC,Trans Continental Airlines,TRANSCAL,Sudan,
,TCD,Tchad Airlines,TCHADLINES,Chad,
,TCE,Trans-Colorado Airlines,TRANS-COLORADO,United States,
S5,TCF,Shuttle America,MERCURY,United States,
T2,TCG,Thai  Air Cargo,THAI CARGO,Thailand,
,TCG,Transafricaine Air  Cargo,AFRICARGO,Burkina Faso,
,TCH,Transcontinental Air,TRANS GULF,Bahrain,
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,ICAO code no longer allocated
,TCL,Coastal Air Transport,TRANS COASTAL,United States,Escape Aviation
,TCM,Teledyne Continental Motors,TELEDYNE,United States,
,TCN,Trans Continental Airlines,TRANSCON,United States,
,TCO,Aerotranscolombina de Carga,TRANSCOLOMBIA,Colombia,
,TCP,Transcorp Airways,TRANSCORP,United Kingdom,
,TCR,Lanaes Aereas Trans Costa Rica,TICOS,Costa Rica,
,TCT,Transcontinental Sur,TRANS-CONT,Uruguay,
,TCU,Inter Tropical Aviation,TROPAIR,Suriname,Defunct 2001
,TCU,Transglobal  Airways Corporation,TRANSGLOBAL,Philippines,
VR,TCV,TACV,CABOVERDE,Cape Verde,
HQ,TCW,Thomas Cook Airlines,KESTREL,Belgium,Defunct
MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom,
,TCY,Twin Cities Air Service,TWIN CITY,United States,
,TDA,Trend Aviation,TREND AIR,United States,
,TDB,Welch Aviation,THUNDER BAY,United States,
,TDC,Tadair,TADAIR,Spain,Ceased operation in 2003
,TDE,Tellavia / Flight One,TELLURIDE,United States,
,TDG,Air Cargo Express,TURBO DOG,United States,
,TDI,Transportes Aéreos  de Ixtlán,TRANSIXTLAN,Mexico,
TQ,TDM,Tandem  Aero,TANDEM,Moldova,
,TDO,TRADO,TRADO,Dominican Republic,Transporte Aéreo Dominicano
,TDR,Trade Air,TRADEAIR,Croatia,
TZ,TDS,Tsaradia,TSARADIA,Madagascar,
,TDT,Atlas Helicopters,TRIDENT,United Kingdom,
,TDV,Taxi Aero Nacional  Del Evora,TAXI EVORA,Mexico,
,TDX,Tradewinds Airlines,TRADEWINDS EXPRESS,United States,Wrangler Aviation
,TDY,Air Today,AIR TODAY,United States,
,TEA,Executive Turbine Aviation,TRAVELMAX,South Africa,
,TEB,Tenir Airlines,TENIR AIR,Kyrgyzstan,
,TEC,ADI Shuttle Group,TECHJET,United States,
,TED,Aero Servicios Azteca,AEROAZTECA,Mexico,
,TEE,West Freugh DTEO,TEEBIRD,United Kingdom,
,TEF,Tecnicas Fotograficas,TECFOTO,Spain,
,TEH,Tempelhof Airways,TEMPELHOF,United States,
,TEL,Telford Aviation,TELFORD,United States,
,TEM,Tech-Mont  Helicopter Company,TECHMONT,Slovakia,
,TEN,Tennessee Airways,TENNESSEE,United States,
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia,
,TER,Territorial Airlines,TERRI-AIRE,United States,
,TES,Taespejo Portugal LDA,Tesaban,Portugal,
,TET,Tepavia-Trans Airlines,TEPAVIA,Moldova,
,TEW,Airteam Charter,TEAMWORK,South Africa,
,TEX,Catex,CATEX,France,
K9,TEZ,TezJet  Airlines,Tezjet,Kyrgyzstan,Started in 2014
,TFA,Trans-Florida Airlines,TRANS FLORIDA,United States,
,TFB,Tair Airways,ROYAL TEE-AIR,Philippines,
,TFF,Talon Air,TALON FLIGHT,United States,
,TFG,MAS Airways,TRAFALGAR,United Kingdom,
,TFH,Thai Flying  Helicopter Service,THAI HELICOPTER,Thailand,
,TFI,Transport Facilitators,,United States,
,TFK,Transafrik International,,São Tomé and Príncipe,
OR,TFL,TUI fly Netherlands,ORANGE,Netherlands,
,TFN,Norwegian Aviation College,SPIRIT,Norway,
,TFO,Transportes  Aéreos del Pacífico,TRANSPORTES PACIFICO,Mexico,
,TFT,Thai Flying Service,THAI FLYING,Thailand,
,TFU,213th Flight Unit,THJY,Russia,State Airline
,TFY,Tayside  Aviation,TAYSIDE,United Kingdom,
YT,TGA,Air Togo,AIR TOGO,Togo,defunct
,TGC,TG Aviation,THANET,United Kingdom,
,TGE,Trabajos Aéreos,TASA,Spain,
TT,TGG,Tigerair Australia,TIGGOZ,Australia,"Previously TGW, callsign GO CAT"
,TGI,Transportes  Aéreos Regionales,TRANSPORTE REGIONAL,Mexico,
,TGM,TAG Aviation Espana,TAG ESPANA,Spain,
,TGN,Trigana Air Service,TRIGANA,Indonesia,
,TGO,Transport  Canada,TRANSPORT,Canada,
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia,defunct
,TGT,SAAB Nyge Aero,TARGET,Sweden,
TR,TGW,Scoot,SCOOTER,Singapore,Former IATA: TZ Former ICAO: SCO; Adopted Tigerair codes after their merger
TR,TGW,Tigerair  Singapore,GO CAT,Singapore,Merged with Scoot
,TGX,Transair Gabon,TRANSGABON,Gabon,
,TGY,Trans Guyana Airways,TRANS GUYANA,Guyana,
A9,TGZ,Georgian Airways,TAMAZI,Georgia,
TG,THA,Thai Airways International,THAI,Thailand,
,THB,Spark Air,THAI SABAI,Thailand,
,THC,Tar Heel Aviation,TARHEEL,United States,
WE,THD,Thai Smile  Airways,THAI SMILE,Thailand,
,THE,Toumai  Air Tchad,TOUMAI AIR,Chad,
,THF,Touraine Helicoptere,TOURAINE HELICO,France,
,THG,Thai Global Airline,THAI GLOBAL,Thailand,
,THJ,Thai Jet Intergroup,THAI JET,Thailand,
,THK,Turk Hava  Kurumu Hava Taksi Isletmesi,HUR KUS,Turkey,
,THM,Airmark Aviation,THAI AIRMARK,Thailand,
,THN,International Security Assistance Force,ATHENA,Canada,
,THO,TACA De Honduras,LEMPIRA,Honduras,
,THR,Tehran Airline,TEHRAN AIR,Iran,
,THS,Turkish Aerospace Industries,TUSAS,Turkey,
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
,THU,Thunder  Airlines,AIR THUNDER,Canada,
TK,THY,Turkish  Airlines,TURKISH,Turkey,
,THZ,Trans Helicoptere  Service,LYON HELIJET,France,
,TIA,Trans International Airlines,TRANS INTERNATIONAL,United States,
T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil,IATA code 8R changed to T4  (2010)
,TIC,Travel  International Air Charters,TRAVEL INTERNATIONAL,Zambia,
8T,TID,Air Tindi,TINDI,Canada,
,TIE,Time Air,TIME AIR,Czech Republic,
,TIH,S C Ion Tiriac,TIRIAC AIR,Romania,
,TIK,Tic Air,TICAIR,Australia,
,TIM,TEAM Linhas Aéreas,TEAM BRASIL,Brazil,
,TIN,Taino Tours,TAINO,Dominican Republic,
,TIP,C and M Aviation,TRANSPAC,United States,
,TIR,Antair,ANTAIR,Mexico,
,TIS,Tesis,TESIS,Russia,
,TIW,Transcarga Intl Airways,TIACA,Venezuela,
,TJK,Tajikair,TAJIKAIR,Tajikistan,
,TJN,Tien-Shan,NERON,Kazakhstan,
,TJS,Tyrolean Jet Services,TYROLJET,Austria,
T7,TJT,Twin Jet,TWINJET,France,
,TKC,Tikal Jets Airlines,TIKAL,Guatemala,
,TKE,Take Air Line,ISLAND BIRD,France,
VF,TKJ,AJet,ANATOLIAN,Turkey,formerly AnadoluJet
VNX,TKK,flyADVANCED,TARKA,United States,Aero Ways Inc. flyADVANCED
,TKR,Canadian Interagency Forest Fire Centre,TANKER,Canada,ICAO Code and callsign no longer allocated
,TKX,Tropical  International Airways,TROPEXPRESS,Saint Kitts and Nevis,
,TLA,Translift Airways,TRANSLIFT,Ireland,
,TLB,Atlantique Air Assistance,TRIPLE-A,France,
,TLC,Caribbean Express,CARIB-X,United States,
,TLD,Aereo Taxi Autlan,AEREO AUTLAN,Mexico,
,TLE,Aero Util,AEROUTIL,Mexico,
,TLF,Transport Africa,TRANS-LEONE,Sierra Leone,
Q4,TLK,Starlink Aviation,STARLINK,Canada,
,TLL,Trans Atlantic Airlines,ATLANTIC LEONE,Sierra Leone,
SL,TLM,Thai  Lion Mentari,MENTARI,Thailand,
,TLO,Eagle Canyon Airlines,TALON AIR,United States,
TD,TLP,Tulip Air,TULIPAIR,Netherlands,
,TLR,Air Libya Tibesti,AIR LIBYA,Libya,
,TLS,TLC Air,TEALSY,United States,
,TLT,Turtle Airways,TURTLE,Fiji,
,TLU,Aero Toluca Internactional,AEROTOLUCA,Mexico,
,TLV,Travelair,PAJAROS,Uruguay,
L9,TLW,Teamline  Air,Teamline,Austria,
,TLX,Telesis Transair,TELESIS,United States,
,TLY,Top Fly,TOPFLY,Spain,
TL,TMA,Trans  Mediterranean Airlines,TANGO LIMA,Lebanon,
,TMB,Volato,Tombo,United States,
,TMC,Travel Management  Company,TRAIL BLAZER,United States,
,TMD,Transmandu,TRANSMANDU,Venezuela,
,TMD,Transmed Airlines,,Egypt,
,TME,Aero Taxi del Centro de Mexico,TAXICENTRO,Mexico,
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia,
,TMH,Taxis Turisticos  Marakame,TAXIMARAKAME,Mexico,
,TMI,Tamir  Airways,TAMIRWAYS,Israel,
,TMK,Tomahawk Airways,TOMAHAWK,United States,
OF,TML,Transports et Travaux  Aériens de Madagascar,TAM AIRLINE,Madagascar,
,TMM,TMC Airlines,WILLOW RUN,United States,
HJ,TMN,Tasman Cargo Airlines,TASMAN,Australia,[citation needed]
,TMP,Arizona Express Airlines,TEMPE,United States,
,TMQ,TRAM,TRAM AIR,Mauritania,
,TMR,Timberline Air,TIMBER,Canada,
,TMS,Temsco Helicopters,TEMSCO,United States,
,TMT,Trans Midwest Airlines,TRANS MIDWEST,United States,
,TMX,Tramon Air,TRAMON,South Africa,
,TMY,Transportes  Aéreos del Mundo Maya,MUNDO MAYA,Mexico,
,TMZ,Transporte Amazonair,TRANS AMAZON,Venezuela,
GE,TNA,TransAsia Airways,,Taiwan,defunct
,TNB,Trans Air-Benin,TRANS-BENIN,Benin,
,TNC,National Aviation Consultants,NATCOM,Canada,
,TND,Aero Taxis Cessna,TAXIS CESSNA,Mexico,
,TNE,Taxis Aéreos del  Noroeste,TAXINOROESTE,Mexico,
,TNF,Transafricaine,TRANSFAS,Burkina Faso,
,TNG,Tennessee Air National Guard 164th  Airlift Group,,United States,
,TNI,Transair  International Linhas Aéreas,TRANSINTER,United States,
,TNL,Tengeriyn Ulaach Shine,SKY HORSE,Mongolia,
3P,TNM,Tiara Air,TIARA,Aruba,
6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico,
,TNP,Transped Aviation,TRANSPED,Austria,
,TNR,Tanana Air Services,TAN AIR,United States,
,TNT,Trans North Turbo Air,TRANS NORTH,Canada,
,TNV,Transnorthern,TRANSNORTHERN,United States,
,TNW,Trans Nation Airways,TRANS-NATION,Ethiopia,
,TNX,Trener Ltd,TRAINER,Hungary,
,TNY,Twin Town Leasing  Company,TWINCAL,United States,
7T,TOB,Tobruk Air,TOBRUK AIR,Libya,
,TOC,Aerotropical,TROPICMEX,Mexico,
,TOF,RAF Topcliffe Flying Training Unit,TOPCLIFFE,United Kingdom,Royal Air Force
,TOH,Air Tomisko,TOMISKO CARGO,Serbia,
,TOJ,TOJ Airlines,TOJ AIRLINE,Tajikistan,
CG,TOK,Airlines PNG,BALUS,Papua New Guinea,
TI,TOL,Tol-Air  Services,TOL AIR,United States,
BY,TOM,TUI  Airways,TOM JET,United Kingdom,"Formerly ""TOMSON"""
,TON,Aero Tonala,AEROTONALA,Mexico,
,TOP,Top Air,AIR TOP,Indonesia,
SX,TOR,FlyGTA Airlines,HOMERUN,Canada,
PM,TOS,Tropic Air,TROPISER,Belize,
,TOT,Totavia,,Canada,Aviation Information Services
9L,TOW,AirTanker Services,TOWLINE,United Kingdom,
,TOW,Tower Air,TEE AIR,United States,Ceased operations
,TOX,Neosiam Airways,SKY KINGDOM,Thailand,
,TOY,Toyota Canada,TOYOTA,Canada,
QT,TPA,TAMPA,TAMPA,Colombia,
,TPB,Aero Tropical,AERO TROPICAL,Angola,
TY,TPC,Air Calédonie,AIRCAL,France,
,TPD,Top Speed,TOP SPEED,Austria,
,TPF,Taxis Aéreos del  Pacífico,TAXIPACIFICO,Mexico,
,TPG,Transportes Aéreos  Pegaso,TRANSPEGASO,Mexico,
,TPK,Air Horizon,TCHAD-HORIZON,Chad,
,TPL,TAR Interpilot,INTERPILOT,Mauritania,
,TPM,Transpaís Aéreo,TRANSPAIS,Mexico,
,TPN,Transportación  Aérea del Norte,AEREA DELNORTE,Mexico,
,TPO,Aero Taxi del Potosi,TAXI-POTOSI,Mexico,
,TPP,Transpac Express,TRANS EXPRESS,Australia,
,TPR,Taxis Aéreos De Parral,TAXIS PARRAL,Mexico,
,TPS,TAPSA Transportes Aéreos Petroleros,TAPSA,Argentina,
,TPT,Transportes Aéreo  del Sureste,TASSA,Mexico,
,TPU,Trans American Airlines  (Trans Am),TRANS PERU,Peru,
,TPV,Thai Pacific  Airlines Business,THAI PACIFIC,Thailand,
,TPX,Transportes Aéreos  De Xalapa,TRANSXALAPA,Mexico,
,TPY,Trans-Provincial Airlines,TRANS PROVINCIAL,Canada,
,TPZ,Transportes La Paz,TRANSPAZ,Mexico,
,TQE,Taxair Mexiqienses,TAXAIR,Mexico,
,TQF,United Kingdom Royal VIP Flights,RAINBOW,United Kingdom,Helicopter Flights
,TQM,JM Family Aviation,TACOMA,United States,
K3,TQN,Taquan Air Services,TAQUAN,United States,
,TQR,Transportación  Aérea De Querétaro,TRANSQUERETARO,Mexico,
,TQS,Aeroturquesa,AEROTURQUESA,Mexico,
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands,
,TRB,Ukraine Transavia,KIROVTRANS,Ukraine,
,TRC,Trans Air Charter,TRACKER,United States,
,TRD,Trans Island Air,TRANS ISLAND,Barbados,
,TRF,Taxi Air Fret,TAXI JET,France,
,TRG,TRAGSA (Medios Aéreos),,Spain,
,TRH,Airmark Aviation,TRANSTAR,United States,
,TRI,Executive Flight Operations Ontario Government,TRILLIUM,Canada,
,TRJ,Trans Euro Air,HIGH TIDE,United Kingdom,
,TRK,Turkish  Airlines General Aviation,TURKISH REPUBLIC,Turkey,
,TRL,Starlite Aviation,STARSTREAM,South Africa,
,TRM,Transport Aerien  de Mauritanie,SOTRANS,Mauritania,
,TRN,Servicios Aéreos Corporativos,AEROTRON,Mauritania,
,TRO,Tropic Airlines-Air  Molokai,MOLOKAI,United States,
,TRP,Maryland State Police,TROOPER,United States,
,TRQ,Turdus Airways,HUNTER,Netherlands,"Defunct, ICAO code in use by  another airline"
,TRR,Tramson Limited,TRAMSON,Sudan,
FL,TRS,AirTran Airways,CITRUS,United States,"defunct, last flight 12/30/2014, now part of Southwest Airlines"
,TRT,Trans Arabian Air  Transport,TRANS ARABIAN,Sudan,
,TRU,Triangle Airline  (Uganda),TRI AIR,Uganda,
,TRW,Transwestern  Airlines of Utah,TRANS-WEST,United States,
,TRY,Tristar Airlines,TRISTAR AIR,United States,
T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States,Defunct
,TSA,Transair France,AIRTRAF,France,
TS,TSC,Air Transat,AIR TRANSAT,Canada,
,TSD,TAF-Linhas Aéreas,TAFI,Brazil,
,TSG,Trans-Air-Congo,TRANS-CONGO,Republic of the Congo,
,TSH,"R1 Airlines, previously Regional 1",TRANSCANADA,Canada,
,TSI,Transport'air,TRANSPORTAIR,France,
